281815396;180
281815440;100
281815584;90
62818077;16
62817492;65
281815480;955
62817468;1000
281815302;924
281815560;622
281815556;770
281815400;1201
281815354;1693
281815612;1295
281815326;1030
281815452;1993
281815562;170
62818004;518
62818486;1101
281815598;1346
281815500;101
62818296;575
281815592;1600
62818508;35
281815390;495
169078880;540
281815322;1005
281815416;112
62818792;432
281815538;930
62817183;735
281815530;731
281815402;1215
62818800;595
62817319;830
281815436;90
281815314;1177
281815600;826
281815312;400
281815456;440
167127237;60
167278968;16
281815450;108
281815570;19
281815442;1802
62818355;76
281815352;805
281815458;15
