281815396;180;50
281815440;100;350
281815584;90;3880
62818077;16;730
62817492;65;3780
281815480;955;340
62817468;1000;310
281815302;924;310
281815560;622;340
281815556;770;307
281815400;1201;30
281815354;1693;930
281815612;1295;390
281815326;1030;730
281815452;1993;430
281815562;170;3160
62818004;518;3022
62818486;1101;3000
281815598;1346;1430
281815500;101;430
62818296;575;30
281815592;1600;30
62818508;35;30
281815390;495;730
169078880;540;30
281815322;1005;930
281815416;112;360
62818792;432;630
281815538;930;5530
62817183;735;530
281815530;731;30
281815402;1215;30
62818800;595;301
62817319;830;130
281815436;90;310
281815314;1177;30
281815600;826;130
281815312;400;306
281815456;440;340
167127237;60;340
167278968;16;310
281815450;108;130
281815570;19;30
281815442;1802;300
62818355;76;830
281815352;805;230
281815458;15;30
